linkId,refnodeid,nrefnodeid,linklength,shapepoints
1200256151,1145491324,1145491322,44.547,41.87027:-87.76428|41.87067:-87.76431
19812319,32038830,32038820,202.864,41.8859:-87.74301|41.88594:-87.74546
1192900483,32038711,1141057092,41.15,41.88437:-87.75277|41.88474:-87.75278
1162137470,1121936716,32008138,126.765,41.90975:-87.78991|41.91089:-87.78992
1169216436,1126358488,808805760,43.374,41.85577:-87.62715|41.85616:-87.62716
722979485,809983292,32042472,42.286,41.92482:-87.74632|41.9252:-87.74634
947608637,32042386,969312453,35.592,41.92867:-87.75631|41.92899:-87.75632
1193825368,975687579,32042417,43.374,41.92746:-87.74891|41.92785:-87.74892
936665327,32055648,961941881,9.1,41.92712:-87.6561|41.92712:-87.65599
721102479,32038808,808689603,47.821,41.88051:-87.74527|41.88094:-87.74528
915788279,946657838,32041942,52.159,41.89209:-87.6886|41.8921:-87.68797
945126111,946904450,967732591,22.239,41.89715:-87.68443|41.89735:-87.68443
1168609952,1125956683,32050625,35.598,41.88233:-87.67096|41.88233:-87.67053
19808503,32042088,32042089,98.967,41.90115:-87.69192|41.90204:-87.69193
19812285,32041988,32041989,101.201,41.88578:-87.68166|41.88669:-87.68168
19812118,32041887,32041889,100.993,41.88661:-87.6878|41.88661:-87.68658
718175091,806621260,806621258,15.567,41.88177:-87.67641|41.88191:-87.67641
1168462997,1125864713,32042064,37.815,41.89192:-87.67694|41.89226:-87.67695
1219530634,1157604527,32041965,52.262,41.88162:-87.68644|41.88209:-87.68644
915881072,946720414,947382067,52.966,41.90317:-87.7245|41.90317:-87.72386
19806805,32039526,32039588,202.436,41.90992:-87.72388|41.91174:-87.72394
1168065250,1125617509,1125617508,38.096,41.88657:-87.69124|41.88658:-87.69078
915868266,946711907,32039643,41.175,41.92052:-87.72176|41.92089:-87.72178
916815450,32039534,947318435,48.012,41.90454:-87.72149|41.90455:-87.72091
916905966,32039506,947382032,55.604,41.90268:-87.72263|41.90318:-87.72264
916917874,32039479,947390111,51.257,41.91712:-87.73141|41.91758:-87.73145
943685166,966482143,32039447,76.126,41.92071:-87.73614|41.92072:-87.73522
1080015732,1066726175,946703656,65.372,41.92046:-87.71197|41.92047:-87.71118
915782840,1014163919,946653934,155.693,41.85707:-87.72303|41.85847:-87.72306
19807894,32039361,32039362,100.089,41.90433:-87.73619|41.90523:-87.73621
859174979,905063928,32039428,17.791,41.91347:-87.73623|41.91363:-87.73623
947489601,32039404,969233739,24.219,41.90813:-87.73135|41.90823:-87.73161
1222577404,1159550131,1159550129,16.679,41.91123:-87.73642|41.91138:-87.73642
916985735,947438883,876298975,15.655,41.90929:-87.73634|41.90943:-87.73632
915870671,947448616,946713438,150.15,41.91529:-87.73077|41.91664:-87.73081
915831169,946687685,946687686,56.715,41.89004:-87.68791|41.89055:-87.68792
915788132,947404677,946657737,148.16,41.89439:-87.68927|41.89439:-87.68748
867327295,910775347,910775346,17.791,41.92601:-87.65385|41.92617:-87.65385
943853066,32008060,966595473,55.604,41.89642:-87.7817|41.89692:-87.78171
1219624667,1157664812,809927776,62.131,41.85065:-87.78336|41.85066:-87.78261
1210933318,32052547,1152053259,231.817,41.90116:-87.65212|41.90293:-87.6536
806702042,32050782,868824586,27.408,41.88658:-87.66247|41.8866:-87.66214
858826984,904833110,32050764,30.024,41.88429:-87.66302|41.88434:-87.66306|41.8844:-87.66308|41.88455:-87.66308
858839298,904842688,32050747,26.514,41.88536:-87.66568|41.88537:-87.66536
915902128,946734102,946734103,58.957,41.88214:-87.65086|41.88267:-87.65088
916036803,946823789,32051671,44.486,41.88629:-87.65566|41.88669:-87.65567
916067803,32051689,946843842,45.597,41.88558:-87.65212|41.88599:-87.65213
946430928,968556963,850493576,65.626,41.88908:-87.65574|41.88967:-87.65576
125169511,32052046,32052044,16.667,41.8925:-87.64962|41.8926:-87.64977
19810407,32051989,32051978,124.045,41.89334:-87.65092|41.89333:-87.65222|41.89337:-87.6523|41.89344:-87.65234
915776549,946649703,946649700,50.511,41.88342:-87.655|41.88343:-87.65439
