sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.068;1.578;8.375;-3.292;1.827;9.055;0.223;-0.249;-0.68;-0.481;1.996;-0.14;421.0;-9.1;9.6;4.5;43.0;-13.5;14.0;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;5.3;44.04194;200.0;8 / 22;25;2019-02-26 07:38:10:003
-3.524;-1.459;9.085;-3.093;-0.528;9.291;-0.431;-0.932;-0.206;0.509;0.142;0.121;498.0;4.9;25.4;36.4;326.1;2.3;21.2;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;8.8;44.04194;181.7;8 / 22;526;2019-02-26 07:38:10:504
-3.588;-1.119;9.395;-3.468;-0.365;9.166;-0.12;-0.754;0.229;-0.156;0.828;0.756;432.0;-6.1;7.1;32.8;337.9;0.4;15.3;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;8.8;44.04194;181.7;8 / 22;1025;2019-02-26 07:38:11:003
-0.553;1.144;10.077;-0.846;1.139;9.704;0.293;0.006;0.374;0.374;-0.33;0.12;432.0;-7.4;-4.8;7.3;135.1;-5.1;10.0;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;9.9;44.04194;177.2;8 / 22;1526;2019-02-26 07:38:11:504
-1.101;2.665;9.012;-0.791;2.117;9.543;-0.31;0.547;-0.531;0.302;-0.004;-0.228;446.0;-5.3;-10.1;8.0;158.9;-10.4;4.4;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;9.9;44.04194;177.2;8 / 22;2025;2019-02-26 07:38:12:003
-1.235;2.957;8.806;-1.116;2.922;9.294;-0.119;0.035;-0.489;-0.17;0.044;-0.098;456.0;-5.6;-3.0;16.9;154.2;-17.4;6.9;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;11.1;44.04194;178.9;8 / 22;2526;2019-02-26 07:38:12:504
-0.836;1.996;10.285;-0.851;2.268;9.503;0.66;0.177;-0.199;0.015;-0.177;-0.153;576.0;-9.1;0.0;13.3;112.2;-13.4;5.1;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;11.1;44.04194;178.9;8 / 22;3025;2019-02-26 07:38:13:003
0.086;2.342;9.984;-0.685;2.204;9.531;0.771;0.138;0.453;-0.079;-0.092;0.173;583.0;-11.3;3.0;14.3;94.2;-14.0;5.5;3.0;1006.3;35.64;42.10507;-87.84013;516.1;NaN;;11.4;44.04194;176.6;8 / 22;3525;2019-02-26 07:38:13:503
-0.43;2.037;9.586;-0.552;2.01;9.582;0.122;0.027;0.004;-0.148;0.045;-0.12;610.0;-12.5;2.0;11.8;93.5;-12.2;2.8;3.0;1006.3;35.64;42.10507;-87.84013;516.1;NaN;;11.4;44.04194;176.6;8 / 22;4026;2019-02-26 07:38:14:004
-0.315;1.397;9.553;-0.556;1.655;9.65;0.242;-0.258;-0.097;0.057;0.191;-0.175;665.0;-12.7;3.1;11.6;87.2;-10.7;3.3;3.0;1006.3;35.64;42.10507;-87.84013;516.1;NaN;;15.5;44.04194;174.5;8 / 22;4525;2019-02-26 07:38:14:503
-0.521;1.742;9.005;-0.93;1.747;9.605;0.41;-0.005;-0.6;0.082;0.0;0.167;626.0;-12.2;6.5;14.5;73.3;-9.9;5.6;3.0;1006.3;35.64;42.10507;-87.84013;516.1;NaN;;15.5;44.04194;174.5;8 / 22;5026;2019-02-26 07:38:15:004
-0.733;0.906;10.782;-0.764;1.606;9.644;0.031;-0.699;1.138;-0.061;-0.142;-0.055;633.0;-11.7;4.7;16.0;82.4;-11.8;5.4;3.0;1006.2;35.64;42.10507;-87.84013;516.1;NaN;;20.6;44.04194;179.7;8 / 22;5526;2019-02-26 07:38:15:504
-0.148;1.334;9.65;-0.415;1.574;9.671;0.267;-0.241;-0.021;0.264;-0.043;-0.083;600.0;-11.5;2.5;15.6;88.9;-9.5;3.1;3.0;1006.2;35.64;42.10507;-87.84013;516.1;NaN;;20.6;44.04194;179.7;8 / 22;6025;2019-02-26 07:38:16:003
-0.791;2.26;10.556;-0.676;2.491;9.461;-0.115;-0.231;1.095;-0.327;0.037;-0.238;474.0;-11.9;4.6;19.4;94.5;-16.5;4.1;3.0;1006.3;35.64;42.10507;-87.84013;519.4;NaN;;21.6;44.04194;180.3;8 / 22;6526;2019-02-26 07:38:16:504
-0.559;3.185;8.216;-0.457;2.989;9.329;-0.102;0.196;-1.113;0.045;0.056;-0.239;480.0;-11.1;6.4;18.9;87.5;-15.8;3.2;3.0;1006.2;35.64;42.10507;-87.84013;519.4;NaN;;21.6;44.04194;180.3;8 / 22;7026;2019-02-26 07:38:17:004
-0.378;3.075;9.183;-0.603;2.826;9.371;0.225;0.249;-0.188;0.067;0.038;-0.081;446.0;-10.1;8.7;18.8;69.9;-16.1;3.5;3.0;1006.2;35.64;42.10507;-87.84013;519.4;NaN;;22.4;44.04194;185.0;8 / 22;7525;2019-02-26 07:38:17:503
-0.31;3.226;8.629;-0.697;3.176;9.252;0.387;0.051;-0.623;-0.054;0.049;-0.238;336.0;-9.4;10.4;19.7;70.5;-19.2;3.9;3.0;1006.1;35.64;42.10507;-87.84013;519.4;NaN;;22.4;44.04194;185.0;8 / 22;8026;2019-02-26 07:38:18:004
-0.511;3.061;10.925;-0.748;3.018;9.301;0.236;0.043;1.624;-0.195;-0.109;-0.342;230.0;-9.5;13.2;19.1;56.3;-19.4;4.2;3.0;1006.2;35.64;42.10507;-87.84013;519.4;NaN;;22.8;44.04194;193.2;8 / 22;8526;2019-02-26 07:38:18:504
-1.863;2.886;8.528;-0.309;3.001;9.331;-1.554;-0.115;-0.803;0.473;0.06;-0.536;283.0;-10.4;13.1;17.4;55.8;-19.5;1.4;3.0;1006.2;35.64;42.10507;-87.84013;519.4;NaN;;22.8;44.04194;193.2;8 / 22;9026;2019-02-26 07:38:19:004
-0.832;2.733;9.914;-0.333;3.243;9.249;-0.499;-0.51;0.665;0.048;-0.334;-0.294;326.0;-8.1;14.5;17.8;44.5;-19.9;0.7;3.0;1006.2;35.64;42.10507;-87.84013;519.4;NaN;;24.4;44.04194;203.8;8 / 22;9525;2019-02-26 07:38:19:503
-0.503;2.873;8.672;-0.541;3.309;9.216;0.038;-0.436;-0.544;0.178;0.04;-0.298;426.0;-7.4;17.2;18.1;32.1;-19.3;2.3;3.0;1006.2;35.64;42.10507;-87.84013;519.4;NaN;;24.4;44.04194;203.8;8 / 22;10026;2019-02-26 07:38:20:004
0.287;2.795;9.859;-0.627;3.119;9.276;0.915;-0.323;0.583;-0.236;-0.048;-0.13;390.0;-7.4;22.1;18.4;20.3;-19.3;5.0;3.0;1006.2;35.64;42.10507;-87.84013;519.4;NaN;;24.8;44.04194;214.3;8 / 22;10525;2019-02-26 07:38:20:503
0.067;2.929;9.262;-0.32;3.092;9.301;0.387;-0.163;-0.039;0.028;0.038;-0.143;421.0;-7.4;23.5;17.8;20.5;-18.2;3.1;3.0;1006.2;35.64;42.10507;-87.84013;519.4;NaN;;24.8;44.04194;214.3;8 / 22;11026;2019-02-26 07:38:21:004
0.68;1.759;9.129;0.284;2.528;9.471;0.396;-0.769;-0.342;0.016;0.004;-0.145;410.0;-8.9;23.2;16.7;27.6;-16.0;-0.4;3.0;1006.2;35.64;42.10507;-87.84013;516.1;NaN;;24.8;44.04194;226.7;8 / 22;11526;2019-02-26 07:38:21:504
0.502;1.391;9.565;0.54;1.773;9.63;-0.038;-0.382;-0.065;-0.057;-0.022;-0.09;412.0;-8.6;23.5;16.0;24.8;-10.0;-2.4;3.0;1006.2;35.64;42.10507;-87.84013;516.1;NaN;;24.8;44.04194;226.7;8 / 22;12026;2019-02-26 07:38:22:004
-0.718;-0.265;9.774;-0.074;0.525;9.792;-0.645;-0.79;-0.018;0.037;0.009;0.011;480.0;-7.7;25.2;17.6;19.5;-5.1;-0.9;3.0;1006.2;35.64;42.10507;-87.84013;516.1;NaN;;22.2;44.04194;235.6;8 / 22;12526;2019-02-26 07:38:22:504
0.488;0.722;10.064;0.136;0.657;9.784;0.353;0.065;0.28;-0.071;-0.073;-0.033;478.0;-7.4;23.5;17.3;16.8;-3.5;0.3;3.0;1006.3;35.64;42.10507;-87.84013;516.1;NaN;;22.2;44.04194;235.6;8 / 22;13025;2019-02-26 07:38:23:003
-0.198;0.918;9.583;0.029;0.815;9.773;-0.226;0.103;-0.19;0.042;0.06;0.017;480.0;-8.0;23.3;17.1;20.9;-4.5;-0.8;3.0;1006.3;35.64;42.10507;-87.84013;519.4;NaN;;17.0;44.04194;237.9;8 / 22;13525;2019-02-26 07:38:23:503
-0.781;0.524;9.376;-0.213;0.793;9.772;-0.567;-0.269;-0.397;-0.078;0.007;-0.034;465.0;-6.9;24.2;17.9;16.9;-4.9;0.7;3.0;1006.3;35.64;42.10507;-87.84013;519.4;NaN;;17.0;44.04194;237.9;8 / 22;14028;2019-02-26 07:38:24:006
-0.321;1.282;9.695;-0.055;0.777;9.776;-0.266;0.505;-0.08;0.088;-0.087;0.031;505.0;-7.0;23.6;17.4;16.8;-4.1;0.5;3.0;1006.3;35.64;42.10507;-87.84013;519.4;NaN;;11.5;44.04194;238.1;8 / 22;14525;2019-02-26 07:38:24:503
0.169;1.336;8.86;-0.245;1.102;9.741;0.413;0.234;-0.882;0.083;0.13;0.01;527.0;-7.4;23.5;16.0;17.3;-5.7;1.2;3.0;1006.3;35.64;42.10507;-87.84013;519.4;NaN;;11.5;44.04194;238.1;8 / 22;15025;2019-02-26 07:38:25:003
0.091;0.886;9.655;-0.251;0.838;9.768;0.342;0.048;-0.113;-0.042;-0.07;0.038;534.0;-7.4;23.9;17.1;15.8;-4.8;2.2;3.0;1006.3;35.64;42.10507;-87.84013;522.6;NaN;;6.9;44.04194;237.7;8 / 22;15525;2019-02-26 07:38:25:503
0.362;0.87;10.05;0.161;0.743;9.777;0.2;0.128;0.272;-0.062;-0.097;0.06;573.0;-7.4;21.4;15.2;19.7;-4.5;-0.3;3.0;1006.3;35.64;42.10507;-87.84013;522.6;NaN;;6.9;44.04194;237.7;8 / 22;16026;2019-02-26 07:38:26:004
-1.516;2.235;8.528;-0.556;1.743;9.634;-0.959;0.492;-1.106;0.045;0.099;-0.053;545.0;-7.5;21.5;14.9;19.7;-8.8;1.6;3.0;1006.3;35.64;42.10507;-87.84013;522.6;NaN;;6.9;44.04194;237.7;8 / 22;16525;2019-02-26 07:38:26:503
-1.839;2.152;8.983;-1.286;2.173;9.476;-0.552;-0.021;-0.493;0.005;0.018;-0.126;490.0;-7.1;23.1;16.0;14.6;-12.3;7.3;3.0;1006.3;35.64;42.10507;-87.84013;522.6;NaN;;6.9;44.04194;237.7;8 / 22;17026;2019-02-26 07:38:27:004
-1.493;1.942;8.987;-1.448;2.116;9.465;-0.044;-0.175;-0.479;-0.023;-0.027;0.051;501.0;-7.3;23.6;16.1;12.9;-12.6;8.6;3.0;1006.3;35.64;42.10507;-87.84013;522.6;NaN;;1.8;44.04194;236.6;8 / 22;17526;2019-02-26 07:38:27:504
-0.667;2.373;9.148;-0.89;2.236;9.507;0.223;0.137;-0.359;0.053;0.09;-0.028;547.0;-7.1;20.5;14.3;17.2;-12.1;6.3;3.0;1006.3;35.64;42.10507;-87.84013;522.6;NaN;;1.8;44.04194;236.6;8 / 22;18026;2019-02-26 07:38:28:004
-1.269;2.423;8.483;-1.293;2.43;9.412;0.024;-0.007;-0.93;0.005;-0.112;-0.021;454.0;-7.7;21.7;16.0;18.5;-13.7;7.6;3.0;1006.3;35.64;42.10507;-87.84013;525.8;NaN;;3.3;44.04194;232.6;8 / 22;18525;2019-02-26 07:38:28:503
-1.235;1.725;9.975;-1.18;2.001;9.528;-0.056;-0.276;0.448;-0.197;-0.1;0.138;504.0;-9.2;21.5;14.3;20.7;-12.5;8.3;3.0;1006.3;35.64;42.10507;-87.84013;525.8;NaN;;3.3;44.04194;232.6;8 / 22;19025;2019-02-26 07:38:29:003
-0.017;2.01;9.313;-0.689;2.049;9.565;0.672;-0.039;-0.252;0.199;-0.068;0.221;584.0;-9.9;19.1;10.9;28.6;-11.1;5.5;3.0;1006.3;35.64;42.10507;-87.84013;525.8;NaN;;4.8;44.04194;232.2;8 / 22;19525;2019-02-26 07:38:29:503
-0.505;2.433;8.624;-0.273;2.491;9.481;0.467;0.187;-0.718;-0.031;0.156;0.04;599.0;-9.8;13.0;7.4;42.4;-14.7;1.7;3.0;1006.3;35.64;42.10507;-87.84013;525.8;NaN;;4.8;44.04194;232.2;8 / 22;20026;2019-02-26 07:38:30:004
-0.64;2.733;8.687;-0.696;2.65;9.416;0.056;0.083;-0.729;-0.04;0.038;0.233;548.0;-9.4;13.0;9.4;39.5;-14.7;4.0;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;6.7;44.04194;209.6;8 / 22;20526;2019-02-26 07:38:30:504
-1.326;2.234;9.631;-0.979;2.72;9.371;-0.348;-0.486;0.26;-0.094;0.099;0.219;535.0;-9.8;11.0;11.5;50.7;-16.0;5.4;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;6.7;44.04194;209.6;8 / 22;21025;2019-02-26 07:38:31:003
-0.207;2.983;10.795;-0.724;2.813;9.367;0.517;0.17;1.429;0.056;-0.084;0.39;535.0;-11.5;9.1;13.4;67.5;-17.2;5.6;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;8.8;44.04194;194.0;8 / 22;21526;2019-02-26 07:38:31:504
-0.851;2.625;8.794;-0.551;2.78;9.388;-0.3;-0.154;-0.594;0.221;-0.194;0.147;573.0;-13.3;7.0;12.1;74.6;-15.4;4.0;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;8.8;44.04194;194.0;8 / 22;22026;2019-02-26 07:38:32:004
-0.832;1.927;9.421;-0.411;2.462;9.484;-0.421;-0.535;-0.062;0.04;0.051;0.293;610.0;-17.8;8.8;10.0;71.4;-15.0;2.8;3.0;1006.2;35.64;42.10507;-87.84013;532.3;NaN;;11.6;44.04194;179.5;8 / 22;22526;2019-02-26 07:38:32:504
-0.736;1.767;9.838;-0.329;2.419;9.498;-0.407;-0.652;0.34;-0.037;0.098;0.167;624.0;-20.6;7.1;9.5;79.0;-14.9;1.8;3.0;1006.2;35.64;42.10507;-87.84013;532.3;NaN;;11.6;44.04194;179.5;8 / 22;23026;2019-02-26 07:38:33:004
-0.571;2.012;9.392;-0.532;2.288;9.521;-0.134;-0.442;0.001;0.087;0.048;0.299;612.0;-22.4;8.5;10.1;74.0;-13.5;3.2;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;14.7;44.04194;166.3;8 / 22;23526;2019-02-26 07:38:33:504
-1.263;1.532;9.723;-0.788;1.779;9.612;-0.475;-0.247;0.111;0.206;-0.032;0.22;619.0;-23.5;8.9;10.4;74.3;-12.6;3.8;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;14.7;44.04194;166.3;8 / 22;24026;2019-02-26 07:38:34:004
0.243;2.043;10.023;-0.113;2.195;9.557;0.356;-0.151;0.466;0.033;0.021;0.06;681.0;-26.5;4.6;9.7;84.6;-13.1;1.9;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;18.4;44.04194;151.4;8 / 22;24525;2019-02-26 07:38:34:503
-0.189;1.753;9.664;-0.025;2.194;9.558;-0.165;-0.442;0.106;-0.076;0.049;-0.007;695.0;-28.6;4.5;10.0;85.1;-13.5;0.3;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;18.4;44.04194;151.4;8 / 22;25026;2019-02-26 07:38:35:004
1.41;1.909;9.47;0.499;2.368;9.503;0.911;-0.459;-0.033;-0.117;-0.11;0.387;730.0;-30.3;3.4;10.2;88.9;-14.0;-1.0;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;21.0;44.04194;142.1;8 / 22;25526;2019-02-26 07:38:35:504
1.633;2.367;9.884;1.266;1.912;9.535;0.367;0.454;0.35;-0.106;0.115;0.148;741.0;-32.3;-0.2;7.9;91.5;-12.3;-7.0;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;21.0;44.04194;142.1;8 / 22;26026;2019-02-26 07:38:36:004
0.796;1.927;9.232;0.953;1.935;9.566;-0.157;-0.008;-0.334;-0.007;-0.048;0.103;674.0;-34.5;2.9;8.6;86.9;-11.3;-6.0;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;22.2;44.04194;135.3;8 / 22;26525;2019-02-26 07:38:36:503
0.883;1.9;9.264;0.952;1.814;9.59;-0.069;0.086;-0.326;0.075;0.072;0.184;672.0;-35.5;3.6;8.9;85.4;-10.6;-6.0;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;22.2;44.04194;135.3;8 / 22;27025;2019-02-26 07:38:37:003
1.262;1.844;9.258;0.905;1.688;9.618;0.356;0.156;-0.359;0.034;0.032;0.121;677.0;-36.7;4.7;8.9;83.9;-9.7;-5.4;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;23.4;44.04194;128.5;8 / 22;27525;2019-02-26 07:38:37:503
1.063;1.644;10.034;1.058;1.772;9.587;0.005;-0.128;0.447;0.055;0.045;0.099;650.0;-37.9;4.7;8.6;84.1;-10.7;-6.3;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;23.4;44.04194;128.5;8 / 22;28025;2019-02-26 07:38:38:003
0.678;1.419;9.336;1.099;1.828;9.572;-0.421;-0.409;-0.236;0.045;0.028;-0.009;648.0;-39.2;4.8;8.5;84.2;-10.9;-6.3;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;25.4;44.04194;122.4;8 / 22;28525;2019-02-26 07:38:38:503
0.673;1.483;9.179;1.09;1.747;9.588;-0.417;-0.264;-0.409;0.073;0.055;0.04;673.0;-40.0;5.3;9.2;84.2;-10.6;-6.6;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;25.4;44.04194;122.4;8 / 22;29026;2019-02-26 07:38:39:004
1.166;0.977;10.643;1.062;1.445;9.641;0.104;-0.468;1.002;-0.086;-0.035;0.241;708.0;-40.9;6.0;9.4;82.9;-9.7;-6.7;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;27.1;44.04194;117.8;8 / 22;29526;2019-02-26 07:38:39:504
1.788;1.062;9.143;1.383;1.348;9.615;0.406;-0.286;-0.471;-0.097;0.028;0.192;741.0;-41.8;5.4;8.8;84.0;-7.9;-7.7;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;27.1;44.04194;117.8;8 / 22;30026;2019-02-26 07:38:40:004
1.627;1.189;9.416;1.571;1.252;9.599;0.055;-0.063;-0.182;-0.055;0.056;0.048;695.0;-42.8;5.5;8.1;82.4;-7.3;-9.2;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;27.6;44.04194;107.7;8 / 22;30525;2019-02-26 07:38:40:503
1.955;1.457;9.683;1.62;1.266;9.589;0.335;0.191;0.095;-0.046;-0.029;0.169;570.0;-43.5;6.5;9.3;81.3;-7.1;-9.2;3.0;1006.1;35.64;42.10507;-87.84013;529.0;NaN;;27.6;44.04194;107.7;8 / 22;31025;2019-02-26 07:38:41:003
2.371;1.035;8.874;1.935;1.132;9.547;0.436;-0.097;-0.673;0.023;0.012;0.162;531.0;-44.3;6.0;9.1;82.5;-6.8;-10.7;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;26.3;44.04194;103.9;8 / 22;31526;2019-02-26 07:38:41:504
3.059;0.778;9.597;2.444;0.925;9.452;0.615;-0.146;0.145;-0.125;-0.044;0.115;562.0;-45.3;6.1;9.2;82.4;-5.3;-13.4;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;26.3;44.04194;103.9;8 / 22;32025;2019-02-26 07:38:42:003
3.464;0.894;8.96;2.896;0.732;9.341;0.568;0.162;-0.38;0.088;0.038;0.131;663.0;-46.0;6.5;9.2;82.3;-4.4;-16.3;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;25.3;44.04194;99.6;8 / 22;32525;2019-02-26 07:38:42:503
3.236;0.827;8.951;3.347;0.62;9.197;-0.111;0.207;-0.246;-0.04;-0.038;-0.001;705.0;-46.3;5.6;8.6;82.1;-3.5;-19.6;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;25.3;44.04194;99.6;8 / 22;33025;2019-02-26 07:38:43:003
3.11;0.733;9.261;3.155;0.7;9.259;-0.18;0.157;-0.296;-0.026;-0.089;0.086;668.0;-47.0;6.4;8.8;82.3;-3.8;-18.7;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;20.8;44.04194;95.8;8 / 22;33526;2019-02-26 07:38:43:504
3.151;0.913;9.188;3.155;0.749;9.255;-0.253;0.132;-0.078;0.023;-0.001;0.007;623.0;-48.3;5.7;8.0;82.2;-4.0;-19.0;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;20.8;44.04194;95.8;8 / 22;34026;2019-02-26 07:38:44:004
3.565;0.622;9.728;3.229;0.728;9.231;-0.077;-0.038;-0.297;0.055;0.076;0.17;625.0;-48.4;6.7;8.2;81.0;-4.5;-19.1;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;17.2;44.04194;93.1;8 / 22;34525;2019-02-26 07:38:44:503
3.546;0.757;9.094;3.281;1.162;9.168;-0.617;-1.55;-0.656;-0.233;0.706;0.871;539.0;-48.1;9.5;12.1;79.4;-8.2;-16.9;3.0;1006.2;35.64;42.10507;-87.84013;529.0;NaN;;17.2;44.04194;93.1;8 / 22;35028;2019-02-26 07:38:45:006
-0.14;-1.226;10.907;1.724;-0.203;9.652;-1.476;-0.805;2.026;-0.254;-0.153;0.623;316.0;-50.0;5.3;12.7;84.6;-1.9;-8.1;3.0;1006.3;35.64;42.10507;-87.84013;532.3;NaN;;14.0;44.04194;94.3;8 / 22;35526;2019-02-26 07:38:45:504
2.251;-3.722;13.667;1.728;-2.811;9.235;-0.427;-1.612;-0.956;-1.636;1.679;0.42;446.0;-65.7;9.2;10.0;82.8;9.5;-10.8;3.0;1006.3;35.64;42.10507;-87.84013;532.3;NaN;;14.0;44.04194;94.3;8 / 22;36025;2019-02-26 07:38:46:003
1.477;-7.645;6.23;1.47;-7.21;6.482;-1.603;0.098;-1.462;-0.228;0.298;-0.508;321.0;-67.7;38.0;16.4;67.1;44.1;-10.6;0.0;1006.3;35.64;42.10507;-87.84013;532.3;NaN;;12.3;44.04194;94.0;8 / 22;36526;2019-02-26 07:38:46:504
-0.239;-8.441;5.097;-0.258;-8.652;4.61;-0.084;0.407;0.461;0.0;-0.004;0.0;9.0;-65.2;47.7;21.6;54.8;61.8;2.9;3.0;1006.3;35.64;42.10507;-87.84013;532.3;NaN;;12.3;44.04194;94.0;8 / 22;37025;2019-02-26 07:38:47:003
-0.328;-8.15;5.398;-0.265;-8.357;5.125;0.05;0.331;0.26;0.001;-0.006;0.002;9.0;-64.7;47.6;20.4;55.1;59.1;2.9;3.0;1006.3;35.64;42.10507;-87.84013;532.3;NaN;;11.2;44.04194;95.9;8 / 22;37526;2019-02-26 07:38:47:504
-0.426;-7.86;5.377;-0.326;-8.158;5.432;-0.158;0.134;0.062;-0.006;-0.005;-0.001;9.0;-65.5;47.7;20.5;54.0;56.6;3.2;3.0;1006.3;35.64;42.10507;-87.84013;532.3;NaN;;11.2;44.04194;95.9;8 / 22;38025;2019-02-26 07:38:48:003
-0.164;-7.934;5.466;-0.25;-8.132;5.475;-0.167;0.147;-0.062;0.002;-0.001;0.009;7.0;-65.4;48.5;21.1;54.1;56.2;2.3;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;8.1;44.04194;94.4;8 / 22;38525;2019-02-26 07:38:48:503
-0.34;-8.068;5.458;-0.278;-8.107;5.511;0.176;0.109;-0.029;-0.001;-0.002;0.013;9.0;-65.4;48.6;21.4;53.3;55.8;2.8;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;8.1;44.04194;94.4;8 / 22;39025;2019-02-26 07:38:49:003
-0.245;-8.212;4.711;-0.286;-8.201;5.369;-0.049;0.017;-0.541;-0.004;-0.018;0.0;7.0;-64.8;47.8;20.8;53.5;56.1;3.2;3.0;1006.3;35.64;42.10507;-87.84013;532.3;NaN;;9.1;44.04194;93.0;8 / 22;39525;2019-02-26 07:38:49:503
0.158;-8.601;4.487;-0.223;-8.546;4.805;0.411;-0.121;-0.305;-0.009;-0.038;-0.001;7.0;-64.6;47.7;21.5;53.8;59.8;3.5;3.0;1006.3;35.64;42.10507;-87.84013;532.3;NaN;;9.1;44.04194;93.0;8 / 22;40026;2019-02-26 07:38:50:004
-0.806;-8.253;5.25;-0.282;-8.628;4.652;-0.255;0.39;0.493;0.017;-0.054;0.056;9.0;-65.0;47.9;20.8;55.7;62.0;2.6;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;8.5;44.04194;101.0;8 / 22;40525;2019-02-26 07:38:50:503
-0.936;-8.089;5.495;-0.769;-8.246;5.252;-0.195;0.129;0.247;0.015;-0.125;0.087;9.0;-65.3;49.1;22.4;49.8;57.8;7.7;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;8.5;44.04194;101.0;8 / 22;41026;2019-02-26 07:38:51:004
-1.174;-8.127;5.51;-0.825;-8.086;5.486;0.031;-0.056;0.132;-0.004;-0.156;0.109;9.0;-65.0;49.7;22.8;47.9;55.5;8.6;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;8.5;44.04194;81.4;8 / 22;41526;2019-02-26 07:38:51:504
-1.358;-7.551;5.772;-0.912;-7.981;5.625;-0.46;0.346;0.302;0.0;-0.205;0.144;9.0;-65.5;50.5;24.1;47.1;54.8;9.0;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;8.5;44.04194;81.4;8 / 22;42025;2019-02-26 07:38:52:003
-1.44;-7.487;5.781;-1.035;-7.841;5.799;-0.664;-0.143;0.067;-0.009;-0.249;0.149;9.0;-65.2;51.2;26.3;44.8;53.4;9.9;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;9.9;44.04194;72.7;8 / 22;42526;2019-02-26 07:38:52:504
-1.032;-7.857;5.909;-1.09;-7.741;5.922;-0.882;0.054;-0.118;0.009;-0.265;0.195;9.0;-65.5;52.7;28.2;43.5;52.4;10.1;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;9.9;44.04194;72.7;8 / 22;43026;2019-02-26 07:38:53:004
-2.101;-7.725;5.807;-1.305;-7.638;6.011;-0.529;-0.268;-0.102;-0.006;-0.293;0.194;11.0;-63.6;53.5;30.4;40.2;51.3;11.8;3.0;1006.3;35.64;42.10507;-87.84013;529.0;NaN;;13.4;44.04194;60.0;8 / 22;43525;2019-02-26 07:38:53:503
